bounds_fid,city_label,country,green_corr,trees_corr,green_area_corr,trees_area_corr,n_nodes,mean_density,mean_green_dist,mean_trees_dist,cc_green_area_sum_800_nw,cc_trees_area_sum_800_nw
372,Szombathely,HU,0.3965382909213332,-0.12868104643973083,-0.6983598221512065,0.09014545000052626,7491,3022.648942644854,207.57553,159.30577,5.026203,0.12027135
373,Wittenbach,CH,0.57148836796328,-0.3579561588305123,-0.5367136854201767,0.7036297399444358,14992,2597.8428970136197,105.71343,218.65169,2.1927817,0.05202257
374,Dijon,FR,0.2560611444913084,-0.11890984225711548,-0.6363977049340254,0.03742580977892873,23706,3651.908095828937,170.35764,379.6267,0.7869811,0.0262525
376,Zürich,CH,0.13896909686482936,0.03748422817842456,0.215258149111531,0.2919607779749276,2253,5052.522158643199,171.58533,43.081432,0.98130184,0.19192246
377,Kecskemét,HU,0.11320447938697716,0.027715496177407452,-0.3323728636684965,0.2314959915835375,7054,3343.15898265188,155.74979,152.45598,0.4650367,0.13103116
378,Bourges,FR,0.1463514600952893,-0.2013940815002099,-0.3825607872450251,0.6151890789684564,11526,1796.2929169269976,145.26996,96.06706,1.1357371,0.2828855
379,Küsnacht (ZH),CH,0.1209465592674224,0.44928016498865553,0.06193931035041165,-0.7747378335522142,2357,3644.0476497333493,215.60854,59.63112,1.2779881,0.15499252
380,Thalwil,CH,0.2112593735863031,0.3566222831795426,0.43459345789827114,-0.553814269017338,1267,4668.572513985807,198.29234,66.57451,1.117042,0.09255362
381,Besançon,FR,0.39454965192610975,-0.19626221765194626,-0.5843876803961012,0.6412412499052919,18141,3097.113766436186,193.54884,89.07575,1.0857221,0.18645617
382,Aldrans,AT,0.5966632651807211,-0.17672881478196734,-0.6801655922007718,0.14686160146424054,17026,3849.2455965721124,109.32703,255.96913,12.307605,0.032762703
383,Zürich,CH,0.5274579540150588,-0.37017648647167545,-0.5271271090690937,0.5981333935442698,107156,3870.1970731417946,122.31724,164.18591,2.5365105,0.11957129
385,Seiersberg-Pirka,AT,0.41978575676365565,-0.10842099009823267,-0.5684495957274498,0.274095046416023,37836,3366.1476109751434,149.8461,123.170105,1.2621908,0.11772607
386,Biel/Bienne,CH,0.4890235211961623,-0.45850164582286135,-0.570732116567882,0.750094405945107,10955,3129.911941819042,109.34916,194.61606,3.387118,0.08226643
387,Focșani,RO,0.5403281366062319,-0.20887104459722883,-0.7235445694108643,0.4820100950864298,4329,4024.1653413625672,211.96739,127.25836,3.0681016,0.07809574
388,Luzern,CH,0.48385819355338533,-0.3980720121459474,-0.4053491970975478,0.6797291986983595,28618,2845.6245946599265,104.02339,196.16039,3.6562064,0.058791414
389,Poitiers,FR,0.26962680987594895,-0.14405084550955283,-0.5163278723660696,0.3528489528359265,15942,2459.779049425429,206.03683,79.855865,0.5608755,0.17311175
390,Galați,RO,0.22519316750558016,-0.27046326610573673,-0.16047996863630937,0.4894614381788445,10458,8776.62413694981,383.5285,47.774437,6.1180954,0.5403658
391,Bern,CH,0.594747010309975,-0.4673531741713713,-0.5932987671383988,0.7730790821088909,32329,3208.0333067424317,104.136116,167.16237,1.9309473,0.1546245
392,Tulcea,RO,0.4903395234124625,-0.2772896774434738,-0.4583181286005641,0.6873349624366157,4023,4810.643050071016,192.98518,45.24105,11.205937,0.501519
394,Brașov,RO,0.5244891583636261,-0.2924091342433148,-0.38743040859236855,0.36978240284573805,15183,5859.508722763288,297.85788,165.75131,19.588062,0.16323073
395,Brăila,RO,0.3710550108253822,-0.31566514737511986,-0.4402875365353761,0.6906179047325937,7301,5773.359935434651,288.60583,79.13553,1.9864703,0.32995343
396,Thun,CH,0.11563545624680996,0.06121429941509776,-0.17194996747596653,-0.106021161371779,230,1502.488709224889,1195.7598,900.0378,0.06878719,0.030903503
397,Arad,RO,0.44626662994741395,-0.16807304559231726,-0.49939816039902774,0.3259919046462913,10715,3548.153003297318,206.93239,54.847527,0.9327185,0.5107661
398,La Rochelle,FR,0.17197245397346048,-0.2769000336460616,-0.4545175282624878,0.4663283354219575,9196,2085.8423040030234,162.05107,79.69565,0.6486001,0.24573046
399,Szeged,HU,0.32551843560141636,-0.2555118006185738,-0.4475741151534493,0.28741212734325733,15321,3684.637892405324,140.72124,81.20683,1.7776319,0.36696106
400,Sibiu,RO,0.48528394692552834,-0.33991806082264914,-0.410977457464461,0.49383315780627324,11575,3992.994507256798,176.24782,299.4002,2.957296,0.050604288
401,Klagenfurt,AT,0.5554345802923498,-0.19041034719953664,-0.6753891607211139,0.4640442102587836,13953,2591.0303526880475,192.12021,82.859566,2.118812,0.1548633
402,Maribor,SI,0.37004978149333767,-0.13196079795185445,-0.6148672166491047,0.5291197616197494,14014,2838.585073144591,110.15067,143.61156,1.6069733,0.08572848
404,Lausanne,CH,0.45804355737789126,-0.1802987534341688,-0.6404142477377519,0.533024512646257,35702,4206.3096116445195,127.88621,105.94173,0.8612074,0.13967325
405,Bolzano - Bozen,IT,0.3670539885273534,-0.4541732597984998,-0.5072448569254049,0.6760528946604569,6893,5314.170246584189,179.66429,295.6613,8.688227,0.033106763
406,Buzău,RO,0.5083668532783395,-0.30690721350604916,-0.5064411366097823,0.6447260314675939,5529,5357.878904468011,294.46436,116.202194,2.09947,0.109584846
