City,Country,Nodes,% Full Access,Mean Completeness,Median Categories,% >= 6 Categories,% >= 9 Categories
Aachen,DE,21057,73.1,1.0,10.0,99.1,91.2
Leuven,BE,10050,73.1,1.0,10.0,99.7,91.5
Bergamo,IT,31762,73.0,1.0,10.0,98.6,89.8
Annecy,FR,11452,72.9,1.0,10.0,99.5,94.4
Mitte,DE,12795,72.8,1.0,10.0,99.2,91.1
Krefeld-West,DE,19238,72.7,1.0,10.0,99.5,91.1
Neu-Ulm,DE,19857,72.7,1.0,10.0,98.9,91.5
Magdeburg,DE,25430,72.7,1.0,10.0,99.5,92.3
Vannes,FR,8713,72.7,1.0,10.0,99.9,92.8
Aarau,CH,9605,72.6,1.0,10.0,99.2,89.5
Langhus,NO,105651,72.6,1.0,10.0,99.1,90.7
Alzingen,LU,15657,72.5,1.0,10.0,99.0,91.7
Cathair na Gaillimhe,IE,8627,72.4,1.0,10.0,99.6,92.6
Stadtbezirk III,DE,18989,72.4,1.0,10.0,98.8,90.0
Hilden,DE,31067,72.4,1.0,10.0,99.3,92.0
Tours,FR,22537,72.3,1.0,10.0,99.7,91.3
Göttingen,DE,18063,72.3,1.0,10.0,99.2,92.0
Neuss,DE,15762,72.3,1.0,10.0,99.1,89.1
Δήμος Λάρνακας,CY,11276,72.2,1.0,10.0,99.1,90.6
Lüneburg,DE,10088,72.1,1.0,10.0,99.5,91.7
Aschaffenburg,DE,7050,71.9,1.0,10.0,99.3,90.4
Thun,CH,7954,71.7,1.0,10.0,98.7,91.4
Huskvarna,SE,10690,71.5,0.9,10.0,98.4,87.4
Ergolding,DE,10823,71.4,1.0,10.0,98.7,89.5
Bordeaux,FR,59648,71.3,1.0,10.0,99.7,93.5
Μουρνιές,GR,5986,71.2,1.0,10.0,100.0,89.4
Sittard,NL,14417,71.1,1.0,10.0,99.4,92.8
Gießen,DE,11534,71.0,1.0,10.0,99.4,93.0
Vellmar,DE,23469,71.0,1.0,10.0,99.4,90.1
Mechelen,BE,7746,70.9,1.0,10.0,99.4,90.4
České Budějovice,CZ,10640,70.9,1.0,10.0,99.9,93.3
Jena-Zentrum,DE,10955,70.8,0.9,10.0,97.3,90.1
Arras,FR,8065,70.6,1.0,10.0,99.9,94.8
Bourges,FR,7563,70.6,1.0,10.0,99.9,89.9
Nowy Sącz,PL,5278,70.3,1.0,10.0,99.5,88.8
Ludwigsburg,DE,15657,70.0,0.9,10.0,98.5,89.0
Vaihingen,DE,11826,70.0,1.0,10.0,99.3,93.8
Düren,DE,6858,69.7,1.0,10.0,99.0,88.8
Baden,CH,10800,69.4,0.9,10.0,98.3,87.5
Opole,PL,8207,69.3,1.0,10.0,99.7,93.3
Liepāja,LV,5142,69.1,1.0,10.0,98.5,91.3
Vallkärra by,SE,16746,69.1,1.0,10.0,99.7,92.0
,,26324,69.1,1.0,10.0,99.4,90.8
Namur,BE,7262,69.0,1.0,10.0,99.3,88.8
Montreux,CH,6159,68.7,0.9,10.0,99.2,84.9
Erfurt,DE,15598,68.6,1.0,10.0,99.7,91.3
Steglitz-Zehlendorf,DE,16902,68.6,1.0,10.0,99.5,93.2
Gallarate,IT,12659,68.3,0.9,10.0,98.4,84.2
Chemnitz,DE,22647,68.2,1.0,10.0,99.5,90.1
Varese,IT,8576,68.0,0.9,10.0,98.1,90.0
Lotte,DE,16111,67.9,1.0,10.0,99.5,89.6
Borås,SE,5691,67.8,0.9,10.0,99.2,88.0
Stephanskirchen,DE,6641,67.5,1.0,10.0,99.9,93.2
Fribourg - Freiburg,CH,7920,67.5,0.9,10.0,98.0,85.6
Schweinfurt,DE,9835,67.3,0.9,10.0,98.3,89.8
Halle-Vilvoorde,BE,8972,67.3,0.9,10.0,98.3,86.3
Agedrup,DK,21357,67.2,1.0,10.0,99.8,88.3
Søholt,DK,20930,67.1,1.0,10.0,99.1,92.6
Västerås,SE,13030,67.0,1.0,10.0,99.6,91.9
Schrevenborn,DE,21601,66.8,1.0,10.0,99.7,89.9
Plauen,DE,5333,66.8,1.0,10.0,99.1,89.0
Assen,NL,11761,66.8,1.0,10.0,99.7,89.3
Sørås,NO,22046,66.6,0.9,10.0,99.0,85.7
Lahti,FI,10414,66.6,1.0,10.0,99.9,88.5
,,15146,65.7,0.9,10.0,99.1,89.7
Antwerpen,BE,5589,65.6,0.9,10.0,99.1,88.0
Wolfsburg,DE,11830,65.6,0.9,10.0,99.0,87.1
Anzio,IT,8054,65.2,0.9,10.0,99.0,86.0
Brackel,DE,7953,64.8,0.9,10.0,99.1,82.9
Pozzuoli,IT,4614,64.7,0.9,10.0,99.1,85.2
Turku,FI,27519,64.3,0.9,10.0,99.3,85.9
Cherbourg,FR,8015,64.2,1.0,10.0,99.4,91.4
Wardenburg,DE,17750,64.2,0.9,10.0,99.6,87.1
Jürgensby,DE,11300,64.2,1.0,10.0,99.8,90.9
Tampere,FI,32421,63.5,0.9,10.0,99.6,85.5
Lahnstein,DE,12734,63.5,0.9,10.0,99.2,91.7
Toulon,FR,10348,62.6,0.9,10.0,99.8,86.2
Thalheim bei Wels,AT,6656,62.2,0.9,10.0,99.5,86.1
Roanne,FR,4819,62.1,0.9,10.0,99.7,91.1
Roosendaal,NL,5764,62.0,1.0,10.0,99.5,93.2
,,16013,61.9,0.9,10.0,99.3,87.9
Hradec Králové,CZ,7321,61.4,0.9,10.0,99.3,93.0
Como,IT,9737,59.1,0.9,10.0,98.0,84.0
Gulpilhares e Valadares,PT,1054,58.6,0.9,10.0,100.0,87.8
Gulpilhares e Valadares,PT,6150,57.3,0.9,10.0,99.6,81.4
Gulpilhares e Valadares,PT,1902,48.5,0.9,9.0,99.7,78.6
