bounds_fid,city_label,country,n_nodes,mean_diversity,median_diversity,mean_centrality,mean_density_norm,mean_density_raw,mean_transport_access,pct_mixed_dense,pct_mixed_opportunity,pct_single_dense,pct_single_low,pct_intermediate,pct_development_opportunity,mixed_use_score
122,Gouda,NL,11437,0.51,0.55,0.46,0.41,inf,0.50,18.05,2.25,2.98,20.49,56.24,0.00,0.36
123,Den Haag,NL,77602,0.55,0.58,0.55,0.50,inf,0.50,30.00,0.00,30.07,0.00,39.93,13.24,0.42
125,Magdeburg,DE,31525,0.43,0.44,0.42,0.34,3046.08,0.50,16.35,2.17,1.57,18.09,61.83,0.47,0.31
126,Nieuwegein,NL,22826,0.49,0.53,0.55,0.49,3129.15,0.50,15.18,1.63,1.61,19.76,61.83,0.08,0.33
127,Veenendaal,NL,11302,0.45,0.48,0.48,0.47,3078.18,0.50,21.33,0.21,0.33,22.77,55.35,0.00,0.33
135,Heepen,DE,33988,0.44,0.44,0.46,0.39,2621.47,0.50,17.11,1.57,1.79,20.62,58.92,0.07,0.31
136,Arnhem,NL,34009,0.49,0.54,0.44,0.34,3148.36,0.50,15.02,2.48,1.68,20.97,59.84,0.13,0.33
137,Ridderkerk,NL,11878,0.46,0.49,0.42,0.42,2707.76,0.50,16.43,1.39,0.94,20.40,60.84,0.00,0.32
138,Rotterdam,NL,96447,0.51,0.53,0.51,0.33,5053.00,0.50,18.86,1.67,1.38,19.82,58.27,0.08,0.36
140,Münster-Mitte,DE,25690,0.48,0.49,0.52,0.33,3201.97,0.50,19.53,0.84,0.97,18.90,59.76,0.12,0.34
141,Zwijndrecht,NL,36376,0.49,0.52,0.47,0.49,3717.19,0.50,16.49,1.49,1.51,21.82,58.69,0.02,0.33
146,Nijmegen,NL,25946,0.50,0.52,0.54,0.37,3398.30,0.50,18.92,1.32,1.35,20.81,57.60,0.16,0.35
147,Lublin,PL,46241,0.50,0.54,0.46,0.45,4636.62,0.50,15.30,1.65,1.87,20.93,60.24,0.00,0.33
153,'s-Hertogenbosch,NL,27697,0.48,0.52,0.46,0.39,2962.57,0.50,17.77,1.64,1.21,21.17,58.21,0.00,0.34
154,Paderborn,DE,17656,0.45,0.44,0.48,0.38,2818.40,0.50,18.37,0.48,1.86,18.10,61.20,0.02,0.32
155,Breda,NL,22573,0.51,0.56,0.50,0.47,3159.64,0.50,16.78,1.13,1.11,21.50,59.48,0.00,0.35
158,Roosendaal,NL,10369,0.44,0.45,0.51,0.47,2800.81,0.50,15.18,2.27,2.39,20.06,60.10,0.02,0.31
