label,country,bounds_fid,area_km2,population,business_and_services_count,active_life_count,arts_and_entertainment_count,public_services_count,retail_count,health_and_medical_count,eat_and_drink_count,education_count,attractions_and_activities_count,religious_count,accommodation_count,business_and_services_per_1000_pop,business_and_services_per_km2,active_life_per_1000_pop,active_life_per_km2,arts_and_entertainment_per_1000_pop,arts_and_entertainment_per_km2,public_services_per_1000_pop,public_services_per_km2,retail_per_1000_pop,retail_per_km2,health_and_medical_per_1000_pop,health_and_medical_per_km2,eat_and_drink_per_1000_pop,eat_and_drink_per_km2,education_per_1000_pop,education_per_km2,attractions_and_activities_per_1000_pop,attractions_and_activities_per_km2,religious_per_1000_pop,religious_per_km2,accommodation_per_1000_pop,accommodation_per_km2
Napoli,IT,618,781.5614673195772,2866122.6199405417,32152,2972,1683,3598,30403,4756,13110,3310,2128,1502,4330,11.21794293667275,41.13815911404596,1.0369409805856997,3.8026439688649103,0.58720446511633,2.153381493808763,1.2553545249486364,4.603604643329726,10.607710845473429,38.900331287146656,1.6593846916775195,6.085253942100105,4.574123908303676,16.774112527529937,1.1548703384046655,4.235111553480099,0.7424664894637849,2.7227544972222506,0.5240529451008483,1.9217938227574345,1.5107518324145626,5.540191246697531
Salerno,IT,619,51.82136169677455,129609.24218158855,2397,257,145,387,1870,448,1126,225,205,99,610,18.49405150167989,46.255056245447776,1.982883285745403,4.95934478726745,1.1187473791170564,2.798073907213153,2.9858981773675914,7.46796277304476,14.427983441026862,36.08550487233514,3.4565436265133873,8.64508352021719,8.687652061281415,21.728491169117312,1.7359873124230183,4.341838821537651,1.5816773290965278,3.9558975929565268,0.7638344174661281,1.9104090814765666,4.7064544914579605,11.7712074717243
Sassari,IT,620,43.496626331287516,99525.6700348565,1933,190,76,275,1245,464,710,214,92,49,110,19.422124958546,44.440228197872344,1.9090552209641696,4.368154866836909,0.7636220883856677,1.7472619467347634,2.7631062408691927,6.322329412527105,12.509335526844161,28.622909522168165,4.6621138027756555,10.667493990591188,7.13383793097137,16.323105028706344,2.150199038349117,4.9199217973847285,0.9243846333089663,2.1151065670999767,0.49233529382760155,1.126524149868466,1.105242496347677,2.528931765010842
Bellizzi,IT,621,41.2666273200493,65860.03657151992,1207,114,40,101,1001,191,460,89,35,23,36,18.32674354332119,29.248816256267727,1.7309434663948762,2.7625228278496445,0.6073485846999566,0.9693062553858403,1.5335551763673902,2.4474982948492467,15.198898332116412,24.25688904103065,2.9000894919422926,4.628437369467387,6.9845087240495,11.147021936937163,1.3513506009574032,2.1567064182334943,0.5314300116124621,0.8481429734626101,0.34922543620247504,0.5573510968468581,0.5466137262299609,0.8723756298472561
Taranto,IT,622,45.77818175832224,129252.80202406095,1700,147,86,273,1424,276,676,209,124,75,221,13.152519507341419,37.135594615243726,1.1373060985759933,3.211136710847546,0.6653627515478601,1.878624198182918,2.1121398973554157,5.963539605859728,11.017169281443635,31.106521607121802,2.1353502258977834,6.029073008121923,5.2300606982134115,14.766859976414564,1.6169862217849156,4.565493690932906,0.9593602464178446,2.708713960170719,0.5802582135591803,1.6383350565548702,1.7098275359543844,4.8276272999816845
Lecce,IT,623,40.49662633128748,92591.40975847749,2038,177,95,289,1455,342,871,280,155,98,650,22.010681177833614,50.32517976504754,1.911624420253459,4.370734454569879,1.0260131069156984,2.345874424769144,3.1212398726172297,7.1363969342977125,15.714200742761486,35.928918821464265,3.6936471848965144,8.44514792916892,9.406920169721824,21.507964462883418,3.024038630909427,6.914156199319583,1.6740213849677184,3.8274793246233405,1.0584135208182994,2.419954669761854,7.020089678896883,16.050719748420462
Cascais e Estoril,PT,624,468.7754302147515,1791314.9075714587,27146,2278,1083,2941,12886,3613,12897,3024,2030,994,2129,15.15423105410465,57.908325074895885,1.2716915325001985,4.859469701636073,0.604583814617083,2.3102746650008195,1.6418107098696595,6.273792973007765,7.193598370411571,27.488642043583155,2.016954129465855,7.707315202814367,7.1997391109109135,27.512107437225822,1.68814538818288,6.4508500341297115,1.1332457466968409,4.330431735874112,0.5548996414860393,2.1204182982555997,1.188512411190923,4.541620278658121
Alhos Vedros,PT,625,53.00081456996001,121178.25590818557,1113,98,42,123,502,146,492,121,66,55,11,9.184816134367363,20.99967725082531,0.8087259489380068,1.8490281856072601,0.34659683525914575,0.7924406509745401,1.0150335889732125,2.3207190492825815,4.142657411906932,9.471552542600454,1.204836617805602,2.7546746438638774,4.06013435589285,9.282876197130326,0.9985289777703962,2.2829837801885557,0.5446521696929434,1.2452638801028486,0.45387680807745273,1.0377199000857071,0.09077536161549056,0.20754398001714144
Charneca de Caparica e Sobreda,PT,626,87.63586418857884,210195.42956412834,2307,258,68,178,1128,305,1049,272,113,112,86,10.97550029885954,26.324838824384646,1.2274291621611448,2.9440001806203893,0.3235084613447979,0.7759380321014979,0.8468309723437356,2.0311319075598036,5.366434476425471,12.87144265015426,1.4510305986788727,3.4803102910434833,4.99059376398078,11.969985230506932,1.2940338453791915,3.1037521284059917,0.5375949431170906,1.2894264356980776,0.532837465744373,1.2780155822848203,0.4091430540537149,0.9813333935401297
"Seixal, Arrentela e Aldeia de Paio Pires",PT,627,44.3168569179902,98279.82451053291,1128,103,53,91,498,110,439,100,52,63,15,11.477431971595648,25.45306861647253,1.0480279193921558,2.324172045653077,0.5392765022114976,1.1959331885399327,0.9259275792687979,2.0533947199459224,5.067164115119355,11.237259016846915,1.119253117797448,2.482125485648917,4.466837442846178,9.905937165453405,1.0175028343613164,2.256477714226288,0.5291014738678844,1.17336841139767,0.6410267856476293,1.4215809599625617,0.15262542515419744,0.3384716571339432
